time:23/Jul/2022:06:23:41 +0000	host:13.231.153.225	forwardedfor:-	req:POST /initialize HTTP/2.0	status:200	method:POST	uri:/initialize	size:55	referer:-	ua:isucandar	reqtime:3.027	cache:-	runtime:-	apptime:3.024	vhost:admin.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/admin/tenants/add HTTP/2.0	status:200	method:POST	uri:/api/admin/tenants/add	size:185	referer:-	ua:isucandar	reqtime:0.141	cache:-	runtime:-	apptime:0.140	vhost:admin.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:GET /index.html HTTP/2.0	status:200	method:GET	uri:/index.html	size:479	referer:-	ua:isucandar	reqtime:0.000	cache:-	runtime:-	apptime:-	vhost:isucon.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/admin/tenants/add HTTP/2.0	status:401	method:POST	uri:/api/admin/tenants/add	size:39	referer:-	ua:isucandar	reqtime:0.002	cache:-	runtime:-	apptime:0.000	vhost:admin.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:GET /js/app.3a4ec98c.js HTTP/2.0	status:200	method:GET	uri:/js/app.3a4ec98c.js	size:33294	referer:-	ua:isucandar	reqtime:0.000	cache:-	runtime:-	apptime:-	vhost:isucon.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:GET /css/app.83b4c321.css HTTP/2.0	status:200	method:GET	uri:/css/app.83b4c321.css	size:4868	referer:-	ua:isucandar	reqtime:0.000	cache:-	runtime:-	apptime:-	vhost:isucon.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/admin/tenants/add HTTP/2.0	status:200	method:POST	uri:/api/admin/tenants/add	size:178	referer:-	ua:isucandar	reqtime:0.051	cache:-	runtime:-	apptime:0.048	vhost:admin.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/admin/tenants/add HTTP/2.0	status:200	method:POST	uri:/api/admin/tenants/add	size:187	referer:-	ua:isucandar	reqtime:0.053	cache:-	runtime:-	apptime:0.056	vhost:admin.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/organizer/competitions/add HTTP/2.0	status:200	method:POST	uri:/api/organizer/competitions/add	size:187	referer:-	ua:isucandar	reqtime:0.011	cache:-	runtime:-	apptime:0.012	vhost:ya-rnco-1658557422.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/admin/tenants/add HTTP/2.0	status:401	method:POST	uri:/api/admin/tenants/add	size:39	referer:-	ua:isucandar	reqtime:0.001	cache:-	runtime:-	apptime:0.000	vhost:admin.t.isucon.dev
time:23/Jul/2022:06:23:42 +0000	host:13.231.153.225	forwardedfor:-	req:POST /api/admin/tenants/add HTTP/2.0	status:401	method:POST	uri:/api/admin/tenants/add	size:39	referer:-	ua:isucandar	reqtime:0.001	cache:-	runtime:-	apptime:0.000	vhost:admin.t.isucon.dev
